"ID"	"X"	"Y"	"Hmax"	"Hmean"	"Hstd"	"CV"	"VD"	"h10"	"h20"	"h30"	"h40"	"h50"	"h60"	"h70"	"h80"	"h90"
84	5941.44	1185.92	19.98	14.9830362116992	3.31886481506798	0.221508162175869	0.809817058040649	10.488	12.268	14.104	15.042	15.55	15.97	17.11	17.626	18.66
85	5943.88	1185.1	21.88	15.3580730223124	3.3682726597032	0.219316098758597	1.11208860616724	11.044	12.28	13.292	14.546	15.4	16.16	17.108	18.57	19.99
86	5947.48	1185.13	18.78	14.7554666666667	2.68369641590902	0.181878111789688	0.845909183190093	10.272	12.872	13.918	14.896	15.73	16.094	16.468	16.874	17.634
87	5950.22	1187.82	19.27	14.85305	2.49521018798127	0.167993118449158	0.902303128736099	11.859	12.638	13.444	14.19	14.975	15.754	16.459	17.12	18.042
88	5950.58	1183.95	19.63	13.4873795180723	3.59665446266511	0.266668143937509	0.748911596850962	9.926	10.4	11.078	12.674	12.98	14.604	16.181	16.91	18.067
89	5955.19	1186	24.42	15.2247317073171	4.9727910373871	0.326625856730017	1.38729106043175	8.594	11.64	12.602	13.276	15.26	16.564	18.498	20.01	21.836
90	5954.06	1182.59	24.32	17.5955102040816	3.49079035686693	0.198390971127235	0.663192799621033	13.476	14.902	15.718	16.8	18.105	18.52	19.478	20.616	22.118
91	5962	1184.02	24.57	14.9691323210412	5.02092903514194	0.335418842419097	1.03990435586835	7.69	11.21	12.68	14.4	15.07	16.04	17.27	19.54	21.95
92	5961.21	1182.52	22.55	17.3978321678322	2.95580775669538	0.169895175915108	0.645146737046311	13.23	15.93	16.7	17.23	17.74	18.17	19.1	19.3	20.635
93	5963.65	1180.87	22.29	15.5755252918288	4.69623076673164	0.30151347570893	0.579729760212944	7.976	12.552	14.174	15.346	16.83	17.762	18.584	19.426	20.434
94	5970.88	1185.04	21.2	16.0116533333333	3.69887617523415	0.231011507570787	0.845909183190093	10.754	13.538	14.172	15.992	16.94	17.834	18.52	19.172	20.04
95	5976.75	1180.91	19.58	14.6196614583333	3.92963622708991	0.26879119179945	0.866211003586655	9.979	12.54	13.529	14.562	15.82	16.788	17.191	17.7	18.247
96	5909.83	1189.18	27.95	16.7426617954071	5.51350814938124	0.329308936461568	2.16101599332296	8.684	11.854	14.05	16.12	16.77	18.604	20.08	22.132	23.843
97	5915.32	1181.9	24.5	16.8437924528302	4.37775548164031	0.259903195429408	1.19555164557533	10.587	13.186	14.684	16.058	17.505	18.732	19.953	20.732	22.19
98	5918.93	1188.9	21.54	14.1897683397683	7.04596646010881	0.496552606878136	0.584241275856624	2.888	3.296	11.48	16.808	18.27	18.872	19.332	19.9	20.282
99	5919.69	1184.84	22.59	17.1891122715405	3.91615184628656	0.227827463362981	0.863955245764815	14.028	15.504	16.41	16.868	17.42	18.542	19.5	20.254	20.9
100	5928.21	1180.28	19.35	12.6615855855856	4.00858140970137	0.31659395125559	1.25194559112134	7.044	8.72	10.152	12.1	12.75	13.908	15.648	16.88	17.664
101	5936.9	1183.6	21.68	14.5769217081851	4.74832691700914	0.325742774233528	1.26773589587422	5.513	10.962	13.069	14.258	15.44	16.57	17.581	18.506	19.988
102	5936.16	1179.51	19.73	15.0439800995025	3.31871299448334	0.220600730161368	0.906814644379779	9.45	11.15	14.386	15.39	16.18	16.396	16.96	17.668	18.539
103	5939.52	1181.67	23.24	15.9769923371648	3.57313906787934	0.22364278535502	1.17750558300061	11.531	13.36	14.823	15.6	15.99	17.016	17.854	18.878	20.01
104	5943.93	1181.24	21.82	14.9833955857385	3.62536843279658	0.241959068093167	1.32864135706391	10.006	11.876	13.22	13.892	14.94	16.31	17.312	18.278	19.728
