FID_1,Id,FID_2,PlotNum,TreeNum,Species,X1,Y1,Status_200,d13_2009,hc_2009,Status_201,Notes_2010,Damage_cla,break_h,h,Distance,ID,X2,Y2,Hmax,Hmean,Hstd,CV,VD,h10,h20,h30,h40,h50,h60,h70,h80,h90
60,0,280,TEXAS,192,2,5941.793,1195.979,11,250,10.5,11,NA,0,NA,20.68549,0,59,5941.86,1195.55,22.69,17.99246667,2.949338668,0.163920752,0.676727347,14.728,16.006,17.204,17.74,18.285,18.792,19.646,20.456,21.217
101,0,1,TEXAS,426,2,5894.14,1238.931,11,251,7.7,11,NA,0,NA,20.750266,0,2,5894.42,1238.78,20.84,14.80962617,3.736236822,0.252284344,0.482732174,9.229,12.18,13.247,14.748,15.465,16.126,17.311,18.234,19.068
61,0,68,TEXAS,358,2,5938.524,1215.149,11,252,6.4,11,NA,0,NA,20.814964,0,22,5938.88,1214.52,22.21,13.73885191,4.713609004,0.343086091,1.355710451,6.38,9.55,11.5,12.97,14.13,15.37,17.18,18.16,19.67
18,0,115,TEXAS,86,2,5981.766,1207.109,11,253,9.1,11,NA,0,NA,20.879582,0,27,5981.77,1206.58,20.55,14.82849823,3.15393807,0.212694369,1.276758927,10.695,12.28,13.7,14.65,15.36,16.05,16.315,17.43,18.71
100,0,2,TEXAS,425,2,5897.24,1240.716,11,257,2.9,11,NA,0,NA,21.137261,0,3,5897.38,1240.55,23.5,13.64085106,5.442516164,0.398986554,0.636123706,6.311,8.824,10.516,12.42,14.195,15.314,16.794,18.806,20.904
89,0,229,TEXAS,343,2,5895.238,1211.704,11,261,8.5,11,NA,0,NA,21.393682,0,56,5896,1210.84,24.18,17.94266667,4.033847047,0.224818703,0.575218245,13.424,14.648,15.352,17.36,18.73,19.348,20.604,21.432,22.48
95,0,129,TEXAS,338,2,5899.906,1218.463,11,263,4.9,11,NA,0,NA,21.521423,0,36,5899.84,1217.68,22.09,16.3924186,3.681575713,0.224590148,0.484987932,11.668,13.294,14.882,16.162,17.46,18.064,18.556,19.226,20.62
90,0,227,TEXAS,345,2,5892.029,1213.871,11,266,11,22,latvaa puuttuu n. 4 m,1,-4,21.712451,0,54,5890.63,1212.54,21.85,18.28953846,3.19996208,0.174961336,0.586497034,13.893,15.4,16.899,18.94,19.57,20.168,20.573,20.784,20.991
55,0,385,TEXAS,149,2,5963.29,1181.331,11,268,6.2,11,NA,0,NA,21.839415,0,93,5963.65,1180.87,22.29,15.57552529,4.696230767,0.301513476,0.57972976,7.976,12.552,14.174,15.346,16.83,17.762,18.584,19.426,20.434
87,0,324,TEXAS,326,2,5894.274,1204.734,11,273,10.1,11,NA,0,NA,22.155479,0,74,5894.34,1204.02,23.88,18.87313008,3.580057057,0.189690689,0.554916424,13.71,16.38,18.01,18.73,19.575,20.1,21.13,21.94,23.08
94,0,127,TEXAS,346,2,5896.508,1220.211,11,278,11.2,11,NA,0,NA,22.469632,0,34,5896.69,1220,24.16,18.51148148,3.194219574,0.172553427,0.609054612,14.73,15.792,16.52,18.096,18.96,19.898,20.72,21.14,22.382
0,0,288,TEXAS,114,2,5950.64,1192.296,11,278,5.4,11,NA,0,NA,22.469632,0,62,5951.11,1192.26,22.27,15.20421525,5.042843204,0.331674021,1.006067989,8.165,11.17,12.88,15.03,16.095,17.7,18.635,19.43,21.04
102,0,0,TEXAS,427,2,5893.841,1244.478,11,282,3.7,11,NA,0,NA,22.719589,0,1,5893.59,1243.75,18.83,11.9233218,4.096106133,0.34353733,0.651914011,6.324,7.908,8.964,11.204,12.17,13.538,14.936,15.952,17.352
93,0,124,TEXAS,349,2,5891.4,1220.369,11,286,8.9,11,NA,0,NA,22.968344,0,32,5892.33,1220.36,22.15,17.48533597,3.180322121,0.181885102,0.570706729,13.042,14.778,16.014,17.358,18.14,18.99,19.748,20.176,21.106
46,0,415,TEXAS,200,2,5943.533,1181.648,11,286,7,11,NA,0,NA,22.968344,0,104,5943.93,1181.24,21.82,14.98339559,3.625368433,0.241959068,1.328641357,10.006,11.876,13.22,13.892,14.94,16.31,17.312,18.278,19.728
91,0,226,TEXAS,348,2,5891.851,1216.901,11,287,9.4,11,NA,0,NA,23.030346,0,53,5892.12,1216.9,23.38,17.8127907,3.519190558,0.197565369,0.678983104,12.14,15.19,16.4,17.23,18.61,19.22,19.93,20.97,22
52,0,378,TEXAS,128,2,5954.241,1186.01,11,287,7.5,11,NA,0,NA,23.030346,0,89,5955.19,1186,24.42,15.22473171,4.972791037,0.326625857,1.38729106,8.594,11.64,12.602,13.276,15.26,16.564,18.498,20.01,21.836
84,0,330,TEXAS,320,2,5905.093,1199.289,11,289,11.5,11,NA,0,NA,23.154126,0,79,5905.08,1198.84,25.92,20.28710692,4.045102869,0.199392791,0.717330987,15.68,18.098,19.411,20.574,21.3,21.742,22.388,23.384,24.279
82,0,327,TEXAS,322,2,5900.137,1196.946,11,292,10.6,11,NA,0,NA,23.339239,0,77,5899.72,1196.23,25.09,19.09774194,3.811376136,0.199572083,0.629356432,13.178,16.052,17.452,18.634,19.42,20.78,21.734,22.738,23.584
43,0,365,TEXAS,204,2,5937.069,1188.017,11,293,7.6,11,NA,0,NA,23.400795,0,83,5936.87,1187.63,25.5,17.47526232,4.851520623,0.277622192,1.41887167,11.498,13.724,15.782,17.266,18.32,19.16,20.416,21.234,23.008
47,0,413,TEXAS,202,2,5936.708,1180.073,11,293,6.1,11,NA,0,NA,23.400795,0,102,5936.16,1179.51,19.73,15.0439801,3.318712994,0.22060073,0.906814644,9.45,11.15,14.386,15.39,16.18,16.396,16.96,17.668,18.539
53,0,383,TEXAS,147,2,5961.596,1184.152,11,318,10.3,11,NA,0,NA,24.916087,0,91,5962,1184.02,24.57,14.96913232,5.020929035,0.335418842,1.039904356,7.69,11.21,12.68,14.4,15.07,16.04,17.27,19.54,21.95
54,0,384,TEXAS,148,2,5961.031,1181.939,11,323,7.7,11,NA,0,NA,25.213793,0,92,5961.21,1182.52,22.55,17.39783217,2.955807757,0.169895176,0.645146737,13.23,15.93,16.7,17.23,17.74,18.17,19.1,19.3,20.635
49,0,414,TEXAS,201,2,5939.279,1181.652,11,325,10.3,11,NA,0,NA,25.332386,0,103,5939.52,1181.67,23.24,15.97699234,3.573139068,0.223642785,1.177505583,11.531,13.36,14.823,15.6,15.99,17.016,17.854,18.878,20.01
88,0,228,TEXAS,344,2,5892.729,1208.834,11,352,9.1,11,NA,0,NA,26.906516,0,55,5892.82,1207.99,25.94,19.81891738,3.453587778,0.174257136,0.791770995,15.51,16.7,17.94,19.26,20.04,21.28,22.09,22.76,24.18
77,0,393,TEXAS,290,2,5915.036,1182.311,11,363,5.6,11,NA,0,NA,27.533813,0,97,5915.32,1181.9,24.5,16.84379245,4.377755482,0.259903195,1.195551646,10.587,13.186,14.684,16.058,17.505,18.732,19.953,20.732,22.19
85,0,325,TEXAS,325,2,5897.039,1200.337,11,364,9.7,11,NA,0,NA,27.590447,0,75,5897.23,1200.2,27.67,20.32740351,4.288540692,0.210973364,0.642890979,14.578,16.514,18.784,19.386,20.26,22.03,23.412,24.142,25.49
86,0,326,TEXAS,324,2,5898.486,1202.629,11,376,9.6,11,NA,0,NA,28.265008,0,76,5898.61,1201.92,27.43,20.30495979,4.136745164,0.203730774,0.841397668,14.026,17.212,18.574,20.288,20.99,21.554,23.01,23.704,25.17
74,0,390,TEXAS,289,2,5909.198,1189.321,11,383,7.4,11,NA,0,NA,28.654252,0,96,5909.83,1189.18,27.95,16.7426618,5.513508149,0.329308936,2.161015993,8.684,11.854,14.05,16.12,16.77,18.604,20.08,22.132,23.843
83,0,328,TEXAS,321,2,5903.274,1195.773,11,504,7,11,NA,0,NA,34.924478,0,78,5903.45,1194.65,27.66,19.794522,4.377621685,0.22115319,1.486544405,13.792,17.048,18.32,19.328,20.72,21.39,22.016,23.062,25.044
