PlotNum;TreeNum;Species;X;Y;Status_2009;d13_2009;hc_2009;Status_2010;Notes_2010;Damage_class;break_h;h
TEXAS;161;2;2515972.809;6861199.216;11;230;3;11;;0;NA;19.37301106
TEXAS;162;2;2515972.159;6861196.233;11;178;5.8;11;;0;NA;15.80244956
TEXAS;81;1;2515974.993;6861200.324;12;161;10.2;22;pökkelö 9 m;1;9;16.43689052
TEXAS;80;1;2515975.771;6861201.524;11;182;13.9;11;;0;NA;17.42811789
TEXAS;84;1;2515978.894;6861202.566;11;244;13.8;11;;0;NA;19.79630895
TEXAS;166;1;2515977.932;6861196.759;11;207;11;11;;0;NA;18.47179049
TEXAS;82;1;2515979.152;6861198.934;11;235;11.8;11;;0;NA;19.49530122
TEXAS;83;2;2515980.711;6861201.167;11;212;3.1;11;;0;NA;18.16351207
TEXAS;179;2;2515980.057;6861195.8;11;81;3;11;;0;NA;8.460792973
TEXAS;95;2;2515982.647;6861199.527;12;75;3.3;13;kituva;0;NA;7.974431173
TEXAS;94;1;2515983.525;6861202.038;11;192;11.1;22;pökkelö 9 m;1;9;17.86193369
TEXAS;180;1;2515981.809;6861193.739;11;198;13.5;11;;0;NA;18.11151924
TEXAS;96;2;2515983.567;6861197.489;11;205;6;11;;0;NA;17.68571311
TEXAS;97;2;2515984.649;6861200.319;11;194;4.7;11;;0;NA;16.92627732
TEXAS;181;1;2515984.123;6861192.027;11;241;10.9;11;;0;NA;19.69736635
TEXAS;182;1;2515985.166;6861194.677;11;226;13.6;11;;0;NA;19.18130268
TEXAS;99;2;2515988.098;6861201.192;12;130;4.6;11;normaali;0;NA;12.28767853
TEXAS;100;1;2515989.354;6861198.818;11;267;12.2;11;;0;NA;20.51181356
